Internal1,Internal1,Internal1,Internal2,Internal2,Internal2,Internal3,Internal3,Internal3,Internal4,Internal4,Internal4
403.824,994.624,134.567,426.245,964.497,134.595,422.619,939.885,121.84,408.966,997.931,99.4105
403.737,994.518,134.466,426.218,964.489,134.569,422.604,939.899,121.832,408.97,997.941,99.4155
403.638,994.58,134.508,426.248,964.522,134.603,422.44,939.928,121.907,408.964,997.937,99.4021
403.724,994.554,134.49,426.237,964.495,134.58,422.612,939.892,121.84,408.971,997.932,99.4091
403.652,994.594,134.456,426.222,964.493,134.583,422.62,939.893,121.826,408.966,997.927,99.409
403.732,994.667,134.535,426.232,964.497,134.594,422.611,939.869,121.831,408.961,997.925,99.4023
403.849,994.551,134.62,426.228,964.482,134.587,422.408,939.916,121.916,408.953,997.921,99.4054
403.82,994.428,134.551,426.22,964.488,134.577,422.66,939.822,121.823,408.966,997.941,99.4137
403.741,994.476,134.484,426.23,964.503,134.577,422.666,939.79,121.84,408.961,997.934,99.4149
403.861,994.556,134.629,426.217,964.491,134.592,422.678,939.767,121.861,408.951,997.942,99.4273
403.691,994.535,134.471,426.21,964.477,134.592,422.665,939.758,121.869,408.942,997.94,99.423
403.801,994.573,134.558,426.205,964.48,134.586,422.659,939.755,121.865,408.942,997.949,99.4157
403.805,994.422,134.548,426.207,964.488,134.588,422.663,939.745,121.857,408.946,997.939,99.4131
403.789,994.567,134.586,426.196,964.472,134.572,422.663,939.757,121.857,408.935,997.938,99.4175
403.753,994.468,134.525,426.185,964.49,134.588,422.654,939.748,121.865,408.931,997.957,99.4132
403.797,994.575,134.561,426.19,964.468,134.567,422.651,939.742,121.877,408.937,997.943,99.4128
403.756,994.567,134.591,426.186,964.482,134.595,422.651,939.747,121.868,408.918,997.935,99.4181
403.769,994.43,134.552,426.176,964.487,134.603,422.629,939.745,121.873,408.916,997.943,99.4047
403.766,994.561,134.565,426.179,964.476,134.585,422.621,939.743,121.873,408.911,997.946,99.4177
403.772,994.57,134.555,426.176,964.476,134.577,422.626,939.75,121.866,408.902,997.949,99.4072
403.743,994.441,134.571,426.17,964.483,134.611,422.615,939.745,121.867,408.901,997.949,99.4124
403.748,994.413,134.537,426.161,964.483,134.602,422.618,939.751,121.87,408.895,997.944,99.4218
403.831,994.505,134.619,426.171,964.493,134.597,422.609,939.756,121.868,408.897,997.95,99.3931
403.681,994.463,134.479,426.158,964.472,134.587,422.611,939.753,121.879,408.898,997.942,99.4263
403.837,994.506,134.627,426.162,964.496,134.593,422.605,939.759,121.876,408.891,997.961,99.4137
403.763,994.426,134.538,426.173,964.498,134.592,422.604,939.751,121.87,408.89,997.945,99.4196
403.825,994.52,134.63,426.157,964.511,134.611,422.612,939.755,121.878,408.894,997.946,99.419
403.751,994.423,134.55,426.165,964.504,134.6,422.619,939.761,121.872,408.895,997.955,99.4169
403.834,994.508,134.626,426.168,964.505,134.616,422.607,939.764,121.869,408.894,997.957,99.4144
403.696,994.47,134.486,426.153,964.51,134.622,422.623,939.76,121.866,408.884,997.947,99.4182
403.643,994.597,134.511,426.165,964.507,134.606,422.615,939.776,121.871,408.899,997.967,99.4065
403.767,994.655,134.65,426.161,964.523,134.613,422.613,939.762,121.875,408.884,997.958,99.4027
403.756,994.495,134.636,426.178,964.53,134.605,422.627,939.78,121.867,408.897,997.947,99.4153
403.75,994.618,134.565,426.175,964.532,134.607,422.626,939.782,121.864,408.899,997.969,99.4009
403.769,994.446,134.547,426.181,964.526,134.606,422.621,939.775,121.875,408.903,997.95,99.4094
403.707,994.515,134.468,426.191,964.545,134.603,422.632,939.771,121.867,408.908,997.949,99.4147
